	docid	citation
15	A-NEW-OCCURRENCE-OF-LAROSITE-FROM-THE-TINNSJA-Cu.html	Nigel J. Cook, Cristiana L. Ciobanu, Øyvind S. Pedersen, Thor H. Langerud, Ove A. Karlsen; A NEW OCCURRENCE OF LAROSITE FROM THE TINNSJÅ Cu–Ag DEPOSIT, TELEMARK COUNTY, NORWAY. I. PARAGENESIS AND CHEMICAL COMPOSITION. The Canadian Mineralogist 2010;; 48 (6): 1569–1573. doi: https://doi.org/10.3749/canmin.48.6.1569
16	A-NEW-RARE-EARTH-ELEMENT-URANYL-CARBONATE-SHEET-IN.html	Yaping Li, Peter C. Burns, Robert A. Gault; A NEW RARE-EARTH-ELEMENT URANYL CARBONATE SHEET IN THE STRUCTURE OF BIJVOETITE-(Y). The Canadian Mineralogist 2000;; 38 (1): 153–162. doi: https://doi.org/10.2113/gscanmin.38.1.153
17	A-NEW-TECTONOMETAMORPHIC-MAP-OF-THE-CANADIAN.html	Robert G. Berman, R. Michael Easton, Léopold Nadeau; A NEW TECTONOMETAMORPHIC MAP OF THE CANADIAN SHIELD: INTRODUCTION. The Canadian Mineralogist 2000;; 38 (2): 277–285. doi: https://doi.org/10.2113/gscanmin.38.2.277
18	A-NEW-URANYL-SHEET-IN-K5-UO2-10O8-OH-9-H2O-NEW.html	Peter C. Burns, Frances C. Hill; A NEW URANYL SHEET IN K5[(UO2)10O8(OH)9](H2O): NEW INSIGHT INTO SHEET ANION-TOPOLOGIES. The Canadian Mineralogist 2000;; 38 (1): 163–173. doi: https://doi.org/10.2113/gscanmin.38.1.163
19	A-POTENTIALLY-NEW-KONDERITE-LIKE-SULFIDE-OF-Fe-Pb.html	Andrei Y. Barkov, Michael E. Fleet, Robert F. Martin, Tapio A.A. Halkoaho; A POTENTIALLY NEW KONDERITE–LIKE SULFIDE OF Fe, Pb, Cu, Rh, Pd, AND Ir FROM THE PENIKAT LAYERED COMPLEX, FINLAND. The Canadian Mineralogist 2004;; 42 (2): 499–514. doi: https://doi.org/10.2113/gscanmin.42.2.499
20	A-RAMAN-INVESTIGATION-OF-THE-AMBLYGONITE.html	Benjamin Rondeau, Emmanuel Fritsch, Pierre Lefevre, Michel Guiraud, André-Mathieu Fransolet, Yves Lulzac; A RAMAN INVESTIGATION OF THE AMBLYGONITE–MONTEBRASITE SERIES. The Canadian Mineralogist 2006;; 44 (5): 1109–1117. doi: https://doi.org/10.2113/gscanmin.44.5.1109
21	A-RE-EVALUATION-OF-THE-STRUCTURE-OF-WEEKSITE-A.html	Jennifer M. Jackson, Peter C. Burns; A RE-EVALUATION OF THE STRUCTURE OF WEEKSITE, A URANYL SILICATE FRAMEWORK MINERAL. The Canadian Mineralogist 2001;; 39 (1): 187–195. doi: https://doi.org/10.2113/gscanmin.39.1.187
22	A-SINGLE-CRYSTAL-NEUTRON-DIFFRACTION-INVESTIGATION.html	Mauro Prencipe, Mario Tribaudino, Alessandro Pavese, Andreas Hoser, Manfred Reehuis; A SINGLE-CRYSTAL NEUTRON-DIFFRACTION INVESTIGATION OF DIOPSIDE AT 10 K. The Canadian Mineralogist 2000;; 38 (1): 183–189. doi: https://doi.org/10.2113/gscanmin.38.1.183
23	A-SPURRITE-MERWINITE-AND-SREBRODOLSKITE-BEARING.html	Daniel F. Rosa, Robert F. Martin; A SPURRITE-, MERWINITE- AND SREBRODOLSKITE-BEARING SKARN ASSEMBLAGE, WEST CLEARWATER LAKE IMPACT CRATER, NORTHERN QUEBEC. The Canadian Mineralogist 2010;; 48 (6): 1519–1532. doi: https://doi.org/10.3749/canmin.48.5.1519
24	A-SYSTEM-OF-CODIFICATION-FOR-UNNAMED-MINERALS.html	Dorian G.W. Smith, Ernest H. Nickel; A SYSTEM OF CODIFICATION FOR UNNAMED MINERALS: REPORT OF THE SUBCOMMITTEE FOR UNNAMED MINERALS OF THE IMA COMMISSION ON NEW MINERALS, NOMENCLATURE AND CLASSIFICATION. The Canadian Mineralogist 2007;; 45 (4): 983–990. doi: https://doi.org/10.2113/gscanmin.45.4.983
