	begin_id	title
0	0	How the element names reveal their history
1	1	abstract
2	4	<SEC0>
3	10	1. The names accredited to Lavoisier
4	25	2. Astronomically inspired names
5	46	3. Names of mythological inspiration
6	62	4. Names of botanical origin
7	75	5. Names of geographical origin
8	109	6. Names taken directly from Ancient Greek
9	136	The Vis tellurique of Chancourtois as an epilogue
