	docid	citation
24	cjes-2013-0143.html	TalingaDraga and CalvertAndrew J.. 2014. Distribution of Paleogene and Cretaceous rocks around the Nazko River belt of central British Columbia from 3-D long-offset first-arrival seismic tomography. Canadian Journal of Earth Sciences.51(4): 358-372. https://doi.org/10.1139/cjes-2013-0143
25	e80-046.html	Philip J. Currie. 1980. A new younginid (Reptilia: Eosuchia) from the Upper Permian of Madagascar. Canadian Journal of Earth Sciences.17(4): 500-511. https://doi.org/10.1139/e80-046
26	e03-068.html	B W Mountain, L G Benning, and J A Boerema. 2003. Experimental studies on New Zealand hot spring sinters: rates of growth and textural development. Canadian Journal of Earth Sciences.40(11): 1643-1667. https://doi.org/10.1139/e03-068
27	e05-080.html	Alan G Jones, Juanjo Ledo, Ian J Ferguson, Colin Farquharson, Xavier Garcia, Nick Grant, Gary McNeice, Brian Roberts, Jessica Spratt, Grant Wennberg, Lisa Wolynec, and Xianghong Wu. 2005. The electrical resistivity structure of Archean to Tertiary lithosphere along 3200 km of SNORCLE profiles, northwestern Canada. Canadian Journal of Earth Sciences.42(6): 1257-1275. https://doi.org/10.1139/e05-080
28	cjes-2016-0042.html	Lixin Pei, Wenzhe Gang, Daming Wang, and Min Xiong. 2017. Application of biomarkers to petroleum migration in the Linyi fault area, Huimin Depression, Bohai Bay Basin, China. Canadian Journal of Earth Sciences.54(3): 311-321. https://doi.org/10.1139/cjes-2016-0042
29	cjes-2017-0154.html	Rongsheng Zhao, Xuanlong Shan, Jian Yi, Ye Liang, Chunlong Li, and Cuiying Qiu. 2018. Understanding fluid behavior through ion and isotope data from the Yitong Basin, Northeast China. Canadian Journal of Earth Sciences.55(3): 308-320. https://doi.org/10.1139/cjes-2017-0154
30	e06-005.html	V Garnier, H Maluski, G Giuliani, D Ohnenstetter, and D Schwarz. 2006. ArAr and UPb ages of marble-hosted ruby deposits from central and southeast Asia. Canadian Journal of Earth Sciences.43(4): 509-532. https://doi.org/10.1139/e06-005
31	e11-021.html	AndrewsJohn T. and EberlD.D.. 2011. Surface (sea floor) and near-surface (box cores) sediment mineralogy in Baffin Bay as a key to sediment provenance and ice sheet variations. Canadian Journal of Earth Sciences.48(9): 1307-1328. https://doi.org/10.1139/e11-021
32	e2012-009.html	Bineli BetsiThierry, LentzDavid, McInnesBrent, and EvansNoreen J.. 2012. Emplacement ages and exhumation rates for intrusion-hosted Cu–Mo–Sb–Au mineral systems at Freegold Mountain (Yukon, Canada): assessment from U–Pb, Ar–Ar, and (U–Th)/He geochronometers. Canadian Journal of Earth Sciences.49(5): 653-670. https://doi.org/10.1139/e2012-009
33	e93-134.html	Frédéric Séa, Marc G. Tanguay, Pierre Trudel, and Mario Bergeron. 1993. Solubilit&#xe9; de l'or dans les eaux interstitielles de la lat&#xe9;rite coiffant le g&#xee;te aurif&#xe8;re de Miss&#xe9;ni, au Mali. Canadian Journal of Earth Sciences.30(8): 1553-1565. https://doi.org/10.1139/e93-134
