	score
2018USPCC047	0.7264811197916666
2017SACLS563	0.6254185267857143
2015MULH1519	0.7526041666666666
2017NORMR073	0.6335720486111112
2020TOU30210	0.731201171875
2018LYSES017	0.7380901834239131
2019REN1B003	0.766650390625
2012ESMA0027	0.78955078125
2008NAN10089	0.7895100911458334
2015LYO10061	0.4602272727272727
2019LYSEI086	0.76904296875
2013TOU30207	0.7517311789772727
2016LORR0350	0.7141927083333334
2020GRALM049	0.7469926313920454
2016ORLE2075	0.7065805288461539
2019TOU30075	0.840478515625
2015ENSU0034	0.8216552734375
2016PSLEE050	0.735595703125
s212348	0.6386021205357143
2016GREAM067	0.6532118055555556
2012GRENM073	0.80810546875
2013GRENL012	0.7838541666666666
2015USPCF015	0.6738978794642857
s235219	0.86884765625
2010CNAM0721	0.5132980346679688
2018PA01H232	0.6639404296875
s191792	0.8076171875
2016REN1S019	0.8105024857954546
2019LYSEI005	0.6516864483173077
2019GREAM052	0.7646026611328125
2019TOU30074	0.8102022058823529
2019PSLEE029	0.7007649739583334
2016USPCC197	0.7241962139423077
2012GRENM107	0.6362950942095589
2017USPCA078	0.7232142857142857
2019NORMR023	0.66485595703125
2017CNAM1102	0.7959391276041666
2013PA112073	0.6629180908203125
2018NORMC250	0.74481201171875
2014ISAT0019	0.7941032858455882
s230006	0.7238241659628378
2010PA132035	0.79449462890625
2018TROY0006	0.6538628472222222
2020LORR0059	0.6704989346590909
2018BORD0032	0.815643310546875
2020EMAC0002	0.8541259765625
2015AIXM4121	0.8275479403409091
2017LYSE2079	0.5145089285714286
2019TOU30261	0.7764553493923612
2017PA01H014	0.8076171875
2019TOU30214	0.8322531960227273
2015PA010070	0.8485466452205882
2017SACLX097	0.6632603236607143
2012GRENM009	0.49959891183035715
1991PA040070	0.6724853515625
2014ORLE2048	0.738037109375
s198997	0.7830636160714286
2017LYSE1003	0.6690673828125
2011NAN10049	0.7392578125
2020UPASG065	0.8517622514204546
2017TROY0032	0.825146484375
2016COMP2300	0.5027669270833334
2017PESC1179	0.77939453125
2019SACLS261	0.7119140625
2014GRENS010	0.2991455078125
2017REN1S059	0.732568359375
2018SACLC067	0.3754526774088542
2020LORR0116	0.766571044921875
2013AVIG0195	0.5080322265625
2017AVIG0221	0.7742024739583333
2017ISAR0015	0.571624755859375
s187586	0.7867606026785714
2020COAZ4032	0.8197835286458334
2020IPPAG001	0.813733552631579
2008NAN10083	0.7853064903846154
s222176	0.77044677734375
2014ENST0070	0.43167877197265625
2018PESC1069	0.80999755859375
s251872	0.8423828125
s248104	0.316796875
2012LORR0038	0.6141510009765625
s163553	0.7590738932291666
2020LORR0105	0.6648152669270834
2020UPASG058	0.7714029947916666
2006GRE10228	0.7390950520833334
2019LORR0179	0.7843424479166666
2020LORR0115	0.794189453125
2020COAZ4082	0.7685102982954546
2008BRES1005	0.73193359375
2020NIME0001	0.3253580729166667
2012VALE0022	0.8018909801136364
2018EMAL0002	0.6390625
2018TOU30080	0.6694539388020834
2018LYSE2057	0.77716064453125
s242471	0.8306710379464286
2018USPCD045	0.7197265625
1998PA040048	0.4747314453125
2014GRENM026	0.7754281850961539
2017SACLN009	0.8221905048076923
2012LORR0321	0.6836825284090909
2016LIL10107	0.785888671875
2019AIXM0326	0.559356689453125
2012CLF22293	0.7128499348958334
2017USPCF038	0.75091552734375
2012PA112164	0.5912272135416666
2015GREAM021	0.5560027091733871
2017LORR0268	0.7378743489583334
2017REN1S076	0.6220703125
2019TOU30043	0.8184442934782609
2011GRENM020	0.767626953125
2020UBFCA023	0.7723721590909091
2017GREAM078	0.6608344184027778
2014CNAM0945	0.7615792410714286
2017LEMA1019	0.71636962890625
2011NAN21015	0.5935302734375
2008NAN10047	0.7570452008928571
2015EPHE3065	0.82769775390625
2012PA040247	0.7363552517361112
2012DIJOS080	0.84735107421875
2014BORD0055	0.6696213942307693
2019TOU20009	0.684765625
2016AIXM4379	0.6843397352430556
s218128	0.6712646484375
2010ISAT0014	0.79638671875
2017GREAM081	0.7977102179276315
2020BORD0049	0.7730000813802084
2020UPASS024	0.5447336832682291
2012MON20260	0.7344563802083334
2020UPASS021	0.8058416193181818
2012PA100104	0.576202392578125
2019GREAS001	0.75953125
2016PA080136	0.76806640625
2019SACLX040	0.6557373046875
2010CAEN2010	0.7629045758928571
2018AIXM0513	0.75556640625
2019SACLV081	0.70712890625
2012GRENL014	0.6755859375
2016MONTT261	0.7187056107954546
2017GREAM060	0.6790248325892857
2009NAN10097	0.5550537109375
2015STRAD026	0.8080240885416666
2019NORMIR13	0.8651529947916666
2018GREAM089	0.65386962890625
2019TOU30136	0.7578299386160714
2018NORMIR10	0.5864310886548914
2019LORR0005	0.8130231584821429
2014LORR0161	0.6670247395833333
1998GRE39057	0.6220703125
2017TOU30167	0.7599826388888888
2019SACLS117	0.8104771205357143
2009PA083147	0.826220703125
2016LORIS424	0.7378151633522727
2019PSLEE004	0.6431681315104166
2016PA066368	0.7272677951388888
2015PA066568	0.638671875
2019SORUS343	0.7635633680555556
2018PSLEP034	0.8008626302083334
2016PA080046	0.78232421875
s217182	0.8126953125
2017GREAM062	0.7411024305555556
2015USPCC067	0.71722412109375
2005PA040081	0.78125
2014GRENM051	0.6386953500600961
2013BESA1011	0.7204861111111112
2020UBFCC003	0.781018708881579
2018GREAM002	0.5247969193892046
s226193	0.8396538628472222
2009PA040119	0.4381917317708333
2019SACLS378	0.70086669921875
2017PSLED039	0.7296549479166666
s204730	0.773095703125
2016PSLED015	0.73984375
2018UBFCC003	0.7806919642857143
2006BESA1002	0.72314453125
2018GREAM012	0.8491796875
2019CNAM1263	0.7817789713541666
2019NORMC253	0.672607421875
2014GRENM076	0.845849609375
2017PA066277	0.82265625
2009PA112039	0.63037109375
2017LIL30019	0.7236703725961539
2018GREAM080	0.7956194196428571
2019CSUP0011	0.76068115234375
2020GRALM035	0.6248604910714286
2015SACLS081	0.7783668154761905
2019BORD0238	0.7997275904605263
1985PA112240	0.561767578125
