	en	fr
0	2261	3246
1	8746	13824
2	3006	4380
3	7672	11541
4	5935	8850
5	4745	7413
6	5194	7831
7	6111	9412
8	4367	6621
9	6349	9864
10	5179	8647
11	5110	7504
12	10806	16018
13	6652	9568
14	11433	15794
15	5027	6952
16	8831	10933
17	9974	13533
18	6864	10450
19	7216	10055
20	10514	15000
21	10958	16483
22	8456	12517
